mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.873,0.977,6.059,0.817,0.531,0.238,7.645,1.982,0.0
3.519,0.985,5.405,0.695,0.174,0.317,6.591,1.864,0.0
2.982,0.987,5.101,0.685,0.13,0.306,6.222,1.877,0.0
3.094,0.986,4.719,0.64,0.116,0.299,5.774,1.935,0.0
3.265,0.985,3.919,0.657,0.117,0.288,4.982,2.022,0.0
2.325,0.99,4.501,0.796,0.085,0.229,5.611,2.016,0.0
2.947,0.987,3.901,0.714,0.103,0.276,4.994,1.989,0.0
2.652,0.988,4.482,0.73,0.088,0.228,5.528,1.983,0.0
2.9,0.988,3.878,0.619,0.1,0.278,4.875,1.96,0.0
3.162,0.986,3.593,0.604,0.099,0.247,4.543,1.997,0.0
2.752,0.988,4.109,0.684,0.087,0.232,5.113,1.992,0.0
2.673,0.988,3.499,0.62,0.084,0.252,4.456,1.96,0.0
2.307,0.99,3.888,0.669,0.073,0.216,4.846,2.003,0.0
2.374,0.989,3.786,0.701,0.079,0.204,4.77,1.974,0.0
3.55,0.985,3.433,0.566,0.108,0.257,4.364,1.947,0.0
2.433,0.989,3.679,0.705,0.085,0.209,4.677,1.988,0.0
2.918,0.987,3.835,0.732,0.091,0.27,4.928,1.864,0.0
2.757,0.988,3.733,0.655,0.085,0.216,4.689,1.957,0.0
3.448,0.986,3.446,0.51,0.103,0.29,4.349,1.878,0.0
2.745,0.989,3.305,0.587,0.078,0.213,4.183,1.859,0.0
2.679,0.989,4.122,0.659,0.082,0.224,5.087,1.891,0.0
3.971,0.984,3.234,0.53,0.109,0.276,4.15,1.84,0.0
2.983,0.987,3.403,0.684,0.088,0.226,4.401,1.93,0.0
3.25,0.986,2.753,0.614,0.094,0.242,3.703,2.217,0.0
2.846,0.988,3.61,0.658,0.074,0.199,4.541,1.841,0.0
2.6,0.989,3.083,0.64,0.073,0.216,4.012,1.883,0.0
3.295,0.987,3.072,0.572,0.091,0.26,3.995,1.853,0.0
2.904,0.988,3.347,0.638,0.08,0.21,4.276,1.861,0.0
3.321,0.986,2.973,0.572,0.096,0.239,3.88,1.887,0.0
2.657,0.989,2.719,0.689,0.077,0.197,3.683,1.888,0.0
3.019,0.988,3.029,0.636,0.084,0.236,3.984,1.902,0.0
2.673,0.989,3.522,0.674,0.078,0.211,4.484,1.906,0.0
3.26,0.987,2.997,0.548,0.095,0.259,3.899,1.88,0.0
3.423,0.986,2.52,0.573,0.096,0.237,3.426,1.876,0.0
3.106,0.987,2.432,0.6,0.09,0.222,3.344,1.887,0.0
2.495,0.99,3.479,0.627,0.072,0.232,4.409,1.9,0.0
2.752,0.989,3.048,0.581,0.084,0.226,3.939,1.859,0.0
2.704,0.989,3.448,0.664,0.083,0.226,4.422,1.882,0.0
2.575,0.989,3.472,0.725,0.076,0.204,4.477,1.855,0.0
2.391,0.99,3.328,0.593,0.072,0.224,4.217,1.858,0.0
3.333,0.986,3.049,0.559,0.092,0.257,3.957,1.818,0.0
3.078,0.988,3.269,0.586,0.08,0.202,4.137,1.777,0.0
3.019,0.988,3.08,0.641,0.083,0.231,4.034,1.786,0.0
3.179,0.987,3.041,0.552,0.088,0.258,3.94,1.805,0.0
3.108,0.988,2.975,0.555,0.085,0.224,3.84,1.765,0.0
2.524,0.99,2.858,0.503,0.068,0.214,3.642,1.828,0.0
3.087,0.988,2.751,0.578,0.08,0.224,3.632,1.817,0.0
3.588,0.986,3.375,0.53,0.096,0.274,4.275,1.847,0.0
3.219,0.987,3.069,0.557,0.09,0.231,3.947,1.871,0.0
2.932,0.988,3.24,0.598,0.075,0.202,4.115,1.847,0.0
2.798,0.989,2.848,0.532,0.075,0.185,3.64,1.87,0.0
2.99,0.988,2.949,0.579,0.079,0.243,3.85,1.845,0.0
3.157,0.987,3.099,0.526,0.081,0.243,3.949,1.851,0.0
3.373,0.987,3.076,0.546,0.086,0.204,3.912,1.842,0.0
3.453,0.986,2.595,0.512,0.09,0.231,3.428,1.871,0.0
3.046,0.987,3.45,0.484,0.088,0.224,4.245,1.88,0.0
3.343,0.986,2.331,0.505,0.093,0.233,3.162,1.864,0.0
2.952,0.988,2.875,0.509,0.078,0.228,3.689,1.866,0.0
2.903,0.988,2.93,0.566,0.079,0.246,3.821,1.844,0.0
2.922,0.988,3.161,0.672,0.077,0.193,4.103,1.83,0.0
2.827,0.989,2.669,0.519,0.081,0.21,3.479,1.849,0.0
3.709,0.985,2.8,0.525,0.093,0.244,3.662,1.856,0.0
2.934,0.988,3.082,0.497,0.078,0.223,3.88,1.892,0.0
3.069,0.988,2.554,0.546,0.078,0.203,3.381,1.878,0.0
3.453,0.986,2.435,0.517,0.093,0.255,3.301,1.876,0.0
2.912,0.988,3.225,0.537,0.075,0.248,4.085,1.851,0.0
3.049,0.988,3.412,0.556,0.079,0.219,4.265,1.845,0.0
3.079,0.988,3.043,0.611,0.082,0.226,3.961,1.842,0.0
2.802,0.989,3.146,0.589,0.069,0.206,4.01,1.845,0.0
2.871,0.989,2.575,0.566,0.077,0.212,3.43,1.846,0.0
3.0,0.988,3.156,0.493,0.075,0.23,3.954,1.857,0.0
2.74,0.989,3.175,0.585,0.074,0.197,4.03,1.849,0.0
3.76,0.985,3.145,0.475,0.093,0.256,3.97,1.881,0.0
3.36,0.987,3.215,0.605,0.082,0.223,4.125,1.897,0.0
2.931,0.988,3.016,0.549,0.073,0.23,3.868,1.873,0.0
2.84,0.989,2.898,0.571,0.072,0.197,3.739,1.897,0.0
3.461,0.986,2.787,0.583,0.089,0.236,3.694,1.903,0.0
3.029,0.988,2.912,0.586,0.077,0.199,3.774,1.89,0.0
3.475,0.986,2.979,0.552,0.084,0.244,3.859,1.867,0.0
3.752,0.985,2.905,0.517,0.094,0.25,3.766,1.864,0.0
2.882,0.989,3.043,0.473,0.075,0.226,3.818,1.85,0.0
3.01,0.988,3.201,0.564,0.077,0.227,4.068,1.844,0.0
3.446,0.986,2.8,0.455,0.081,0.236,3.572,1.832,0.0
3.198,0.987,2.521,0.521,0.078,0.243,3.363,1.786,0.0
3.188,0.987,2.564,0.516,0.077,0.199,3.357,1.793,0.0
2.714,0.989,2.513,0.565,0.071,0.223,3.371,1.843,0.0
3.079,0.988,2.644,0.575,0.074,0.213,3.506,1.811,0.0
2.767,0.989,2.754,0.479,0.071,0.232,3.535,1.823,0.0
2.85,0.989,3.436,0.574,0.07,0.191,4.271,1.792,0.0
